OCCURRENCE_ID,LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD1,GAUL_AD2,UNIQUE_LOCATION,YEAR,LATITUDE,LONGITUDE,COUNTRY,REGION
1,point,-999,1282,16397,535,1953,38.0944,69.3321,Tajikistan,Asia
2,point,-999,1282,16397,1178,1953,37.657,69.6272,Tajikistan,Asia
3,point,-999,1282,16397,620,1954,42.4129,20.7944,Serbia,Asia
4,point,-999,1278,16376,1182,1954,37.235,69.0988,Tajikistan,Asia
5,point,-999,1278,16376,1165,1954,37.4917,69.4029,Tajikistan,Asia
6,point,-999,1278,16376,1178,1954,37.657,69.6272,Tajikistan,Asia
7,point,-999,1280,16389,1171,1954,37.91,69.78,Tajikistan,Asia
8,point,-999,1280,16389,1182,1955,37.235,69.0988,Tajikistan,Asia
9,point,-999,1280,16389,1173,1955,37.87,68.73,Tajikistan,Asia
10,point,-999,321,3944,1178,1955,37.657,69.6272,Tajikistan,Asia
11,point,-999,2524,25065,1182,1956,37.235,69.0988,Tajikistan,Asia
12,point,-999,2644,25343,1173,1956,37.87,68.73,Tajikistan,Asia
13,point,-999,321,3947,1178,1956,37.657,69.6272,Tajikistan,Asia
14,point,-999,321,3939,1211,1956,37.7983,69.6367,Tajikistan,Asia
15,point,-999,706,11890,1182,1957,37.235,69.0988,Tajikistan,Asia
16,point,-999,706,11890,1170,1957,37.5884,68.6587,Tajikistan,Asia
17,point,-999,706,11890,1178,1957,37.657,69.6272,Tajikistan,Asia
18,point,-999,715,11976,1182,1958,37.235,69.0988,Tajikistan,Asia
19,point,-999,715,11976,1178,1958,37.657,69.6272,Tajikistan,Asia
20,point,-999,715,11976,380,1958,0.1164,32.4333,Uganda,Africa
21,point,-999,715,11976,1178,1959,37.657,69.6272,Tajikistan,Asia
22,point,-999,715,11976,380,1961,0.1,32.43,Uganda,Africa
23,point,-999,718,12002,535,1962,38.0944,69.3321,Tajikistan,Asia
24,point,-999,40429,72847,1199,1962,38.03,69.58,Tajikistan,Asia
25,point,-999,3097,28374,4,1963,47.23,39.71,Russian Federation,Asia
26,point,-999,3097,28374,535,1963,38.0944,69.3321,Tajikistan,Asia
27,point,-999,3097,28374,1199,1963,38.03,69.58,Tajikistan,Asia
28,point,-999,3097,28374,1211,1963,37.7983,69.6367,Tajikistan,Asia
29,point,-999,3097,28374,1167,1963,38.5256,68.5471,Tajikistan,Asia
30,point,-999,3097,28374,4,1964,47.23,39.71,Russian Federation,Asia
31,point,-999,3097,28374,535,1964,38.0944,69.3321,Tajikistan,Asia
32,point,-999,3097,28374,1199,1964,38.03,69.58,Tajikistan,Asia
33,point,-999,3097,28374,110,1965,43.4968,79.92,Kazakhstan,Asia
